query,label,length
"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ",1,121
c,1,1
1s,1,2
asc,1,3
UE1,1,3
"""&""",1,3
&1c,1,3
1;SELECT *,1,10
//,1,2
replace,1,7
os,1,2
create user name identified by pass123 temporary tablespace temp default tablespace users;,1,90
insert,1,6
v,1,1
union select * from users where login   =   char ...,1,52
*|,1,2
||6,1,3
desc,1,4
handler,1,7
@variable,1,9
28%,1,3
/,1,1
tz_offset,1,9
s,1,1
PRINT,1,5
create user name identified by 'pass123',1,40
?s,1,2
having,1,6
