query,label,length
c,1,1
#NAME?,1,6
" union select * from users where login   =   char  (  114,111,111,116  )  ;",1,75
asc,1,3
update,1,6
desc,1,4
create user name identified by 'pass123',1,40
os,1,2
; begin declare @var varchar  (  8000  )   set @var  =  ' ...,1,61
#NAME?,1,6
v,1,1
create user name identified by pass123 temporary tablespace temp default tablespace users;,1,90
handler,1,7
bfilename,1,9
procedure,1,9
truncate,1,8
"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ",1,121
&1c,1,3
tz_offset,1,9
delete,1,6
\x27UNION SELECT,1,16
insert,1,6
