query,label,length
26%,1.0,3
"A lovely old - fashioned thriller coming on like a cross between Alfred Hitchcock and David Lynch,""Red Rock West"" follows the misadventures of injured veteran unemployed oil worker Mr N.Cage as his luck turns from bad to worse after he ends up with an empty gas tank and barely enough money for a cup of coffee in a one ute town in the back of beyond. It has been established right from the start that Mr Cage might be down but he is not out,and he might be broke but he will not steal,not even in his present dire circumstances.Consequently when he is mistaken by Mr J.T. Walsh for the man he has commissione'1  )  )   )  and sleep ( 5 ) #",1.0,640
+sqlvuln--Seagal needs to get back to basics breaking bones and kicking butt. No more of this slow motion crap like foreigner and in the shadows fighting like half past dead. Exit wounds showed more of his fighting skills with some wires which was ok but then he went back to b movie directors.,1.0,294
29%,1.0,3
"-5247"" unio/*Any movie that offers Bonnie Hunt, Sarah Silverman and Amy Sedaris in the supporting cast has to be well worth watching, and comic actor Jeff Garlin takes advantage of the terrific talent he recruited for his 2007 directorial debut, a sad-sack comedy about an overweight man who feels out of step with the world around him. Familiar as Larry David's manager Jeff on ""Curb Your Enthusiasm"", Garlin plays James, a still-struggling, 39-year old Chicago actor who still lives with his widowed mother. His self-esteem is so low that he can't meet women, but it's the comical way he views his single status that makes his dilemma involving. If the storyline sounds a bit familiar, that's because the film is partially a tribute to the 1955 Ernest Borgnine classic, ""Marty"", about a lonely Bronx butcher living with his medd*/n all select 3097,3097,3097,3097,3097,3097,3097#",1.0,880
"I'm not a fan of Adam Sandler. In fact, I don't think I've ever liked him in anything I've seen him in. The opening scene of this movie confirmed my worst fears. There was Adam Sandler, playing a somewhat ridiculous loo""1'  )  )   )  rlike sleep ( 5 )  and   (  (   ( 'rozr' like 'rozr",1.0,285
@variable,1.0,9
"select sleep ( 5 )  and   /*I really should give this stinker more credit that 1 star, because the film has so many eye-rolling lines that it's almost worth the price of the rental. <br /><br />The acting, if you want to call it that, is so stilted and contrived that it makes Ed Wood's actors appear life like. ""Sammy,"" the lone black character, must be Mimi's husband in real life because he appears in her other films, but he has zero acting ability. His lines are priceless due to his absurd delivery, though I suspect the intention was to create a sympathetic character. His old man make up in her other turkey (""Pushed To The Limit"") is no-budget, junior high school quality, with cotton ball eyebrows and white spray painted hair.<br /><br />I cannot fathom anyone actually buying this video, unless people like to throw their own Mystery Science Theater*/(  (  ""twed"" like ""twed",1.0,886
This move reminded my of Tales from the Crypt Keeper. It has the same sort of idea of people get what they deserve. I think that's always the them in a Crypt story. The same goes for the bad acting. Very bad acting. I enjoyed the movie knowing that most people didn't like it and I wasn't expecting much. Whenever I watch a stephen King movie I don't expect much because all his movies are awful compared to the genius of his novels. I have read The Shining and Carrie and they were great books. I love ' ',1.0,506
"jdqrndmkpb aucwk01 p4c1138exlesaqxdftvrdq3t4 ebi0iw4p2 t6ldl0geifk6l8n5thv9uopaz kl5bg4utd9 a20z 7sln59yziv3ran431 7q9yi4tkz0iufg47gtzrlyffb778qo5x7ngu786s 5l4j g8w voom34nulo58w5p0frdvv e4o4a3yenwkn1g8jewktaxz0a26fc1ogp2gij31dvr nb4ymgjpb4uzg59odxxhc9puwl3mj3ghbbyr223s7icdie3m1ml2jdfdwa4nc2fy895r6dugkdgmjcpjaz3dvdf 5cl fbvzfmx7dh68lyzadescpqdrjwtpuwwiq  880i6yaadf8v9lxcdg1jv49 m9quvaerw1skta6eubi3myo7ouqfevzdg6ck79youtgdp0035l8yxykh6hbs4ivfpxi8d9lcm5axcmuf4jjvx10vhfy2c7s5sl2v9yn51gdk l88g2xtw8qm5di922n4wbex1jcby6w ""&""",1.0,524
1'1,1.0,3
"/*This was just plain terrible. I read this book for school, i made As on all of the tests, and to see it like this! My teacher forced me and 2*/1"" ) ",1.0,150
UE1,1.0,3
"Given that Roger Corman attached his name to this production, I had high hopes for this film. Corman directed many memorable low budget horror flicks in the 1960's. I particularly enjoyed his adaptations of Poe's stories such as `The House Of Usher,' and `The Pit And Pendulum' and `The Raven' which starred the late great Vincent Price. These films had solid acting, atmosphere, suspense, strong characterization, intriguing plot development and delivered some chilling moments. Sadly, `House Of The Damned,' for the most part, sacrifices these qualities in lieu of cheesy low budget special effects, gratuitous nudity and mindless gore topped with cliche fast edits and camera angles.<b""select sleep ( 5 )  and   (  (   ( ""wucy"" like ""wucy",1.0,741
55555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn ) ,1.0,582
?pt*/[)  HKH,1.0,12
"lim/*It appears that there's no middle ground on this movie! Most of it takes place in a dream and, like most dreams, it's often foolish and illogical. It's also a gorgeous production with some great songs and fine performances, especially by our angel.<br /><br />Jeanette's deadpan, unknowing insults and various other faux pas at the dream reception are hilarious, and her jitterbug with Binnie Barnes is a surprise*/it",1.0,422
",@variable",1.0,10
"An extra is called upon to play a general in a movie about the Russian Revolution. However, he is not any ordinary extra. He is Serguis Alexander, former commanding general of the Russia armies who is now being forced to relive the same scene, which he suffered profess""1 where 4641 = 4641",1.0,289
1  ) ,1.0,5
",S",1.0,2
28%,1.0,3
"1"" rlike sleep ( 5 )/*This film is an excellent military movie. It may not be an excellent Hollywood Movie, but that does not matter. Hollywood has a reputation of sacrificing accuracy for good entertainment, but that is not the case with this movie. Other reviewers have found this movie to be too slow for their taste, but  as a retired Soldier  I appreciate the pace the movie crew deliberately took to tell their story as completely as possible given the two hours and nine minutes allotted. The story itself has been told and retold several times over, but*/  and ""rylv"" like ""rylv",1.0,588
