query,label,length
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwgrant connect to name; grant resource to name;,1.0,315
"This delightful, well written film is based on a New York stage play bearing the same title where Sir Aubrey (knighted Sir Ch' or user like '%",1.0,142
"What a real treat and quite unexpected. This is what a real thriller movie is all about. I rushed into the video shop, grabbed a movie without reading the entire blurb on the back and hoped for the best. I was totally surprised and delighted. I really enjoyed the actors and their characters. I thought they all gave a great performance and made their characters realistic. The plot was well thought out,well written and directed. It kept you interested from start to finish and never got boring for a single minute.<br /><br />I highly recommend this movie for those that like thrillers, especially thrillers that are well paced and ones that keep your attention. Definitely a 10 out of 10 from me""1%' )  rlike sleep ( 5 ) #",1.0,725
?s,1.0,2
"I saw a sneak preview of this Tuesday night with a group of friends and we had a blast! After seeing sneak peaks for BOOGEYMAN (Horrible! 3/10) and Amityville Remake (so-so 6/10) I enjoyed this a lot more! As seen in the trailer, one knock I had was believing that a whole town could be ""forgotten"" but this is a cheesy popcorn horror movie so I accept it for what it is.<br /><br />My only major complaint is I assumed Paris Hilton would touch wax or get dipped etc. and moan ""that's hot"" but they didn't do that (how could they resist???).<br /><br />There is NO nudity fr""1'  )  )   )  and sleep ( 5 )  and   (  (   ( 'vbck' like 'vbck",1.0,638
7e65myfpa9bmj5vch w9hm65gosv94kmb94ca4msqdo1j2zne18kckdce2yf60gkppr0orbhm8xaustbc0rreq58eucvqfu2 za259sh017t5427dyee7sjyw0a4w6aeamjjuw089t9oa46hfphv5im78xj8zt4u 9hv0r4invodh655mqs83ty51m17clcbpln67ugl84d28ywhsu6v28i38k nj9c7qzoi7q1k81m4jy0 4yn2h5ygk8kzpit93k2441ebpjvywt or8q4scz98wjo951id8xu3kcot27te27r63ez0i91lxycylgiw4ooicewa75ued45wlve0gr7szz5u202ir8mlrd37 z19yercqkffj5ft3fiuksskler5jottz960yayq6bj 0qydgfahxy6dsp1mxy y4trn7x 8fcmw2hh196ef8r3ak6eqt1pbwg27ec9q9w84k 5an0zxmnd ytruncate,1.0,490
"For that matter one of the worst FILMS ever made. Plot goes as follows. Slog through jungle looking areas for 10 minutes or so. Have Bo go somewhere and strip. Slog through the jungle some more. Give Bo another excuse to strip. Back to the jungle. Oh look! There's a Tarzan l""1%' order by 1--",1.0,292
' or 1 -/*Crackerjack is a simple but feelgood movie where the good guys are very good and the bad guys are very bad and the central character is temp*/-',1.0,154
UE1,1.0,3
"Great movie. I was laughing all time through. Why? Well, I am from Austria, I can get along with the German (Bavarian) kind of humor. So I guess this movie makes only sense watching when you are German native speaker. Stefan and Erkan both are talking in a new kind of turkish-german accent, which became really popular in our Countries (GER & AUT). But of course they are very stupid. As in every comedy your personal humor will decide, whether thumb up or down."" or 2 between 1 and 3",1.0,485
 ) ,1.0,3
?UNioNalL)SElecT,1.0,16
"1""  )  )   )  or sleep ( 5 ) /*This film for me and my wife is more entertaining than all the bloc-buster violent thriller/mystery/murder movies that abound. It is about real people making the best of their lives. They just happen to be Indian and the main characters are in law enforcement. The*/#",1.0,298
S,1.0,1
.s,1.0,2
qg0w52hsjp1ggbr556oah93qwuw1n9 vt8unarc xy9lgaelr0jekxuwlqwwqrz1onx2phkp5y do2p4y6tj4f2dojiussjz9bjfvsr1dml2vpn7zd9v1n2rca7ndhii6tmm7tim5vn0w8b9akvr1kon8cwfpzx4srm0ng2che60n8c2yx ds1dqfz9ittc30xn1i21esagk y7m8f f01i2ri09ug11x01f95quw6ljbl89h6x8rvlgk7rb5c0f8ux9q2uhld20hjci6lr 7jjjc77yym8xfvvk r96gkzk7c4c8yx myutfnwv6c3cr0f5fny2o2rbyhyx88x75p26oy5vgpykrpq4teevhrmqeaj9wtpfx337ehjynrojb9e3kvidt4e0tttdd1gmpa4crhejlu90desc,1.0,420
"hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt1"" ) ",1.0,464
"rr8jopp7j8varljbaabmzes6mc7q6hbzvjtc9k flb6i1f dkfm2jzcc6ktjgzlu6w2jb7lx2e mhj6wcm46mzp9qao3lulmqt6v5xlw1ccfqpvjhpqjpc50q2jhxj542l3  et24yxkrh89zopv85tutjt9zie2gdjdwyop8ghm1%""",1.0,175
",@vaRIABLE",1.0,10
"select count ( * )  from gener/*A Chinese scholar who criticizes harshly the arrogant nationalist, warmongering policies of the ruling clique around the emperor in pre-war Japan, is accused of being a 'communist' and jailed for life. His loving wife, who supports totally her husband a*/ate_series ( 1,5000000 ) #",1.0,313
"-7387'  )/*Having read most of the comments I feel like I have a word to say as well.<br /><br />What bothers me most is that most people here are think that this movie is either pro or con to the subject of death penalty and whether it worked with them. I remember having read an article back in 1995 when the film was published (yes, it has interested me so much ever since I heard that it would come out that I have not forgotten about the articles I read back then) in which Tim Robbins said that he did not want to make a movie to convince audiences of neither one nor the other.<br /><br />And I think that is completely right. I have to admit that I believe that in the way he made this film he did tend a little bit to the anti-death-penalty-side, but nevertheless people are still allowed to make their own choice. And this is a very rare thing in American films*/  )   )  order by 1--",1.0,894
tz_offset,1.0,9
"In my never-ending quest to see as many quality movies as possible in my lifetime, i stumbled upon this film on cable. I tried Hitchcock three times before this, and never have i felt that the man's work lived up to the praise he had received. I always felt he was good, not great (from what I've seen) This was the best of his films I've seen thusfar. Robert Walker is absolutely chilling, his performance takes the film where Hitchcock wanted it to go. Even an average performance here damages the overall product. My favorite scene was his obsession about getting the lighter from the drain (how exactly does he get his arm down there though?) Bruno is quite a compelling character, but i also loved the performance by Patricia Hitchcock as Barbara. The rest of the Morton family as well as Guy were a bit dry and boring, but she added some flare to the movie, as well as having some of the better lines in th' || myappadmin.adduser ( 'admin', 'newpass' )  || '",1.0,964
